timestamp,speed,location,latitude,longitude,direction,vehicle_type,data_source,processing_timestamp
2025-08-13 08:23:00,30,"{'type': 'Point', 'coordinates': [-87.656081584699, 41.925231699449]}",Y,-87.6560815847,W,PEDESTRIAN,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 07:47:00,30,"{'type': 'Point', 'coordinates': [-87.660946251547, 41.886787041428]}",,-87.6609462515,N,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 07:45:00,30,"{'type': 'Point', 'coordinates': [-87.660961378956, 42.003491951427]}",Y,-87.660961379,N,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 07:30:00,30,"{'type': 'Point', 'coordinates': [-87.793534364156, 41.77757334706]}",,-87.7935343642,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 07:19:00,10,"{'type': 'Point', 'coordinates': [-87.7053126941, 41.851654545163]}",,-87.7053126941,W,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 06:50:00,30,"{'type': 'Point', 'coordinates': [-87.6323627253, 41.879290073296]}",,-87.6323627253,W,PEDESTRIAN,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 06:15:00,40,"{'type': 'Point', 'coordinates': [-87.577425259974, 41.786346070036]}",,-87.57742526,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 05:00:00,25,"{'type': 'Point', 'coordinates': [-87.781002297635, 41.940268072938]}",,-87.7810022976,N,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 04:36:00,30,"{'type': 'Point', 'coordinates': [-87.732883433168, 41.916974601737]}",Y,-87.7328834332,W,ANGLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 03:30:00,30,"{'type': 'Point', 'coordinates': [-87.559432261693, 41.659282779464]}",,-87.5594322617,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 02:15:00,35,"{'type': 'Point', 'coordinates': [-87.67449871945, 42.001767455948]}",,-87.6744987194,W,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 01:55:00,25,"{'type': 'Point', 'coordinates': [-87.680903205327, 41.939651931538]}",Y,-87.6809032053,W,OTHER OBJECT,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-13 00:59:00,35,"{'type': 'Point', 'coordinates': [-87.724491821678, 41.844145502669]}",Y,-87.7244918217,W,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 23:32:00,30,"{'type': 'Point', 'coordinates': [-87.689077692183, 41.97780146365]}",Y,-87.6890776922,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 23:00:00,30,"{'type': 'Point', 'coordinates': [-87.739008202332, 41.874294732471]}",,-87.7390082023,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 22:48:00,25,"{'type': 'Point', 'coordinates': [-87.645520469369, 41.755256079303]}",,-87.6455204694,S,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 22:02:00,30,"{'type': 'Point', 'coordinates': [-87.604985730802, 41.747538448447]}",,-87.6049857308,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
