record_id,atd_device_id,read_date,intersection_name,direction,movement,heavy_vehicle,volume,speed_average,speed_stddev,seconds_in_zone_average,seconds_in_zone_stddev,month,day,year,hour,minute,day_of_week,bin_duration
cf8ff7a5ac093cf297b76f31e9e54a4d,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,12,15.75,8.582,3.667,1.991,11,14,2019,21,15,4,900
d11daf002d49fd845d342d16e5094eb3,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,True,1,0.0,0.0,5.3,0.0,11,14,2019,21,15,4,900
9aa6f8e493b536d48d035186ca4b586b,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,False,2,10.5,4.95,6.65,0.071,11,14,2019,21,15,4,900
e0f898362f59a864e092b84f950f3d65,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,True,2,14.0,5.657,5.15,5.445,11,14,2019,21,15,4,900
74b36a950485392168449d85c5d2087c,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,8,10.5,7.211,3.287,1.593,11,14,2019,21,15,4,900
9ad85d23bb94c88fb554bfe2dc39f079,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,False,1,0.0,0.0,0.0,0.0,11,14,2019,21,15,4,900
876cc838a6724e6e613fa7df379505f3,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,True,2,0.0,0.0,4.65,1.485,11,14,2019,21,15,4,900
bc00fec9cc28b3f7119706b8202e3cda,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,2,0.0,0.0,0.4,0.424,11,14,2019,21,15,4,900
048b3e65e09f18f1cac23a05c81c3ba2,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,4,6.0,12.0,0.075,0.05,11,14,2019,21,15,4,900
217a37c661262b9a345d639e2dd72dca,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,False,1,53.0,0.0,1.0,0.0,11,14,2019,21,15,4,900
d0c3130ba14dd0dcaa1537e1dcce3fd0,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,True,3,17.333,27.465,2.867,2.511,11,14,2019,21,15,4,900
91e2da976ef3f0fdabeb18fc70653624,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,72,31.292,15.777,1.203,1.263,11,14,2019,21,15,4,900
34e673a56d8d333e332983c149ebe135,6197,2019-11-14T21:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,78,37.205,12.003,0.859,0.994,11,14,2019,21,15,4,900
21beb6c1f667d22e4ef94224bc25201f,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,8,7.625,8.667,1.75,2.745,11,14,2019,21,30,4,900
e4ed956263a66943b15b301184ceb706,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,3,35.333,8.083,0.9,0.265,11,14,2019,21,30,4,900
b35bf4d7f8b3e0116c089d9ba1e4c598,6197,2019-11-14T21:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,5,20.0,16.355,2.5,1.975,11,14,2019,21,30,4,900
