crash_record_id,crash_date,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,crash_type,intersection_related_i,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location,private_property_i,photos_taken_i,hit_and_run_i,statements_taken_i,crash_date_est_i,work_zone_i,work_zone_type,dooring_i,lane_cnt,workers_present_i
f8a0c4c53294c17657faf0a6f7f6d28e43ccc02897d58d97a57e98397ab24d821b8d8b0977bc07332d381c3c9d50733629d02e297708cb8a764b6ab322a995ed,2025-08-13T08:23:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",2025-08-13T08:45:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1101,W,FULLERTON AVE,1811,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,8,4,8,41.9252316994,-87.6560815847,"{'type': 'Point', 'coordinates': [-87.656081584699, 41.925231699449]}",,,,,,,,,,
14e70107e850a9111cc57bbc4570a4090ff194ae8d81918a6b181aa3376a5a1d254616e3357a7c9f6c25ede5bd41e1f9d7fd9ff6e8f008f3b120502f67ce3c87,2025-08-13T07:47:00.000,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",2025-08-13T08:40:00.000,IMPROPER LANE USAGE,UNABLE TO DETERMINE,304,N,ADA ST,1215,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,8,41.8867870414,-87.6609462515,"{'type': 'Point', 'coordinates': [-87.660946251547, 41.886787041428]}",,,,,,,,,,
18b9ccce54c3198d7056e049c30583fb7bbc8459aa79c0a539fe281c86f4cc253301bdd3037367b8f5ef945790aa405232f50f37bb0df1d3c00d0d92cd37f7e1,2025-08-13T07:45:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",2025-08-13T07:47:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6658,N,SHERIDAN RD,2432,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,8,42.0034919514,-87.660961379,"{'type': 'Point', 'coordinates': [-87.660961378956, 42.003491951427]}",,,,,,,,,,
c414b4addea4457e5a15049e0c26b2dfc349eb592ace81977cf7e3f34afeba328559fee7e4b618789f76d13fe71c7e5840304ef4ea39e5c4e7db6761ce17a71b,2025-08-13T07:30:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",2025-08-13T10:00:00.000,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,6900,W,63RD ST,812,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,7,4,8,41.7775733471,-87.7935343642,"{'type': 'Point', 'coordinates': [-87.793534364156, 41.77757334706]}",,,,,,,,,,
b6bd162120a44f2ad2fcaa7215ea8b678487363d268b46122ae87509f65bbccc3717ab3fc3fd38cf51ea5b1c0bc9bf1dcd2e168cfdda1eba25a23b865a21cc7c,2025-08-13T07:19:00.000,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",2025-08-13T07:19:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3201,W,CERMAK RD,1024,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,8,41.8516545452,-87.7053126941,"{'type': 'Point', 'coordinates': [-87.7053126941, 41.851654545163]}",Y,Y,,,,,,,,
6ea4e252e59972163fef691bb8128ec14322c7ddaf9a979c3d20332075345f0efe063417e53a217b482569c7f2f080738be6baa98084d50c06044531c1855b01,2025-08-13T06:50:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,2025-08-13T08:05:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,151,W,ADAMS ST,122,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,8,41.8792900733,-87.6323627253,"{'type': 'Point', 'coordinates': [-87.6323627253, 41.879290073296]}",,,Y,,,,,,,
54675c52217c0a8f49c0e615a116b7379ab3e481e8bef8ce7a491bc9f26757ec52504389c5e2e36e9e7875dcf3862a024d4fd6b2bd05c6d6101a37141319f589,2025-08-13T06:15:00.000,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",2025-08-13T09:15:00.000,UNABLE TO DETERMINE,NOT APPLICABLE,5955,S,LAKE SHORE DR,331,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,8,41.78634607,-87.57742526,"{'type': 'Point', 'coordinates': [-87.577425259974, 41.786346070036]}",,,,,,,,,,
82595ee461edc8053292e8082be629daf0b2dffa847efe8fa6cc460159b743ae23fa054ded0366377e29895a616ae67f6983b1f0d552a4df7d22d59f2d0b07f1,2025-08-13T05:00:00.000,25,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",2025-08-13T05:01:00.000,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3301,N,MELVINA AVE,1633,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,4,8,41.9402680729,-87.7810022976,"{'type': 'Point', 'coordinates': [-87.781002297635, 41.940268072938]}",,,,,,,,,,
18c54617bc29df949651169791fd7407a64c765fca5a9322280dc24f68b5c8f4143bb5b48ab7f0c2668e80388a43bf61504eb9944622640dc55427b200d26eb5,2025-08-13T04:36:00.000,30,STOP SIGN/FLASHER,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",2025-08-13T04:38:00.000,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4235,W,ARMITAGE AVE,2534,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,4,8,41.9169746017,-87.7328834332,"{'type': 'Point', 'coordinates': [-87.732883433168, 41.916974601737]}",,,,,,,,,,
c016e20deea2c00e49dae929c6862fc640dd8234335690227d110017309cc58358f800cf6d81395152d34e64325149b38b6f7e84d3b9f9c32b08a360c7ea3f41,2025-08-13T03:30:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",2025-08-13T03:35:00.000,FAILING TO REDUCE SPEED TO AVOID CRASH,FAILING TO REDUCE SPEED TO AVOID CRASH,12998,S,TORRENCE AVE,433,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,3,4,8,41.6592827795,-87.5594322617,"{'type': 'Point', 'coordinates': [-87.559432261693, 41.659282779464]}",,,,,,,,,,
